,WMO ID,Calib Type,Num Prof,RMSE(0-2000m),RMSE(500-2000m),RMSE(1000-2000m),RMSE_ADJ(0-2000m),RMSE_ADJ(500-2000m),RMSE_ADJ(1000-2000m),File
576,5901736,1,111.0,nan,nan,nan,12.933699914532399,7.9212134542722845,7.685154873352683,compare_woa_v3/5901736_26lev.nc
577,5901737,1,33.0,nan,nan,nan,21.80547801004373,14.965633414800573,14.695227965875473,compare_woa_v3/5901737_26lev.nc
578,5901738,4,0.0,nan,nan,nan,nan,nan,nan,
579,5901739,3,199.0,nan,nan,nan,14.719105849860348,8.614397613378543,5.364762660631078,compare_woa_v3/5901739_26lev.nc
580,5901740,3,202.0,nan,nan,nan,12.487352001771127,8.469058699588778,5.910254246595902,compare_woa_v3/5901740_26lev.nc
581,5901741,3,65.0,nan,nan,nan,14.309916934294366,6.288817905318353,4.925074997169488,compare_woa_v3/5901741_26lev.nc
582,5901742,3,203.0,nan,nan,nan,13.608657804493674,6.75364431296523,5.37033087522963,compare_woa_v3/5901742_26lev.nc
583,5901743,3,207.0,nan,nan,nan,17.587101752467255,16.628780333090763,5.9911122559674235,compare_woa_v3/5901743_26lev.nc
584,5901744,1,214.0,nan,nan,nan,14.64098019710033,6.6403142526873635,5.721001611295188,compare_woa_v3/5901744_26lev.nc
585,5902099,3,91.0,nan,nan,nan,13.95399697828843,14.867601324932325,7.675475268494741,compare_woa_v3/5902099_26lev.nc
586,5902100,1,77.0,nan,nan,nan,18.57591600640286,11.958879936268637,9.82207418942379,compare_woa_v3/5902100_26lev.nc
587,5902101,1,88.0,nan,nan,nan,17.121021865055354,10.726152509699004,9.089928885252116,compare_woa_v3/5902101_26lev.nc
588,5902105,3,216.0,nan,nan,nan,8.982264948051068,7.4812053225507436,6.563242254103245,compare_woa_v3/5902105_26lev.nc
589,5902109,1,182.0,nan,nan,nan,18.387260732918328,11.360705851682356,11.995732879226965,compare_woa_v3/5902109_26lev.nc
590,5902110,1,214.0,nan,nan,nan,19.069867561778747,11.978754223516187,6.510299012386502,compare_woa_v3/5902110_26lev.nc
591,5902112,1,273.0,nan,nan,nan,18.893125202099963,22.64957500581813,nan,compare_woa_v3/5902112_26lev.nc
592,5902113,3,119.0,nan,nan,nan,23.48714646791145,4.969717827116182,4.425474090510074,compare_woa_v3/5902113_26lev.nc
593,5902116,3,245.0,nan,nan,nan,18.709692031720863,13.253072865239956,7.933622282953443,compare_woa_v3/5902116_26lev.nc
594,5902117,3,16.0,nan,nan,nan,15.588008013201824,6.082935168854976,3.767453167554421,compare_woa_v3/5902117_26lev.nc
595,5902128,1,216.0,nan,nan,nan,21.05994845659062,3.5831759151438947,nan,compare_woa_v3/5902128_26lev.nc
